max_depth,max_features,max_leaf_nodes,MAE,R2,Index
10,1,500,0.039989348769260025,0.5472571586421713,0
10,1,1000,0.039989348769260025,0.5472571586421713,1
10,1,1500,0.039989348769260025,0.5472571586421713,2
10,3,500,0.03685984093290668,0.6110493108478658,3
10,3,1000,0.0368600974949051,0.6110478726641184,4
10,3,1500,0.0368600974949051,0.6110478726641184,5
10,6,500,0.03571914592961723,0.6357241337493476,6
10,6,1000,0.03571890465254564,0.6357266823718054,7
10,6,1500,0.03571890465254564,0.6357266823718054,8
10,9,500,0.035633800751829856,0.6332139045387318,9
10,9,1000,0.035633800751829856,0.6332139045387318,10
10,9,1500,0.035633800751829856,0.6332139045387318,11
10,12,500,0.03578361005605811,0.629868196694812,12
10,12,1000,0.03578361005605811,0.629868196694812,13
10,12,1500,0.03578361005605811,0.629868196694812,14
10,15,500,0.03600219913450452,0.6226871172847936,15
10,15,1000,0.03600219913450452,0.6226871172847936,16
10,15,1500,0.03600219913450452,0.6226871172847936,17
17,1,500,0.038853003417951525,0.5669006442936613,18
17,1,1000,0.038095493792758936,0.5894470365007158,19
17,1,1500,0.038476845380391526,0.5925433423467694,20
17,3,500,0.03597185987563371,0.628691883955541,21
17,3,1000,0.035811037129778664,0.6337510318683364,22
17,3,1500,0.036191097211278875,0.6341667264497481,23
17,6,500,0.03513408870260427,0.648070480794296,24
17,6,1000,0.03505884947474254,0.6510469020061183,25
17,6,1500,0.03537471838274447,0.6516538478086358,26
17,9,500,0.0351986983805825,0.6443327166204775,27
17,9,1000,0.03513836937949165,0.6460383132820189,28
17,9,1500,0.03541993284922479,0.646338947084362,29
17,12,500,0.03535485380475209,0.6400248569074559,30
17,12,1000,0.03533275685100089,0.6420205215238454,31
17,12,1500,0.03560193947030521,0.6425901505915934,32
17,15,500,0.03565218797627105,0.6320080001117965,33
17,15,1000,0.035682137956772046,0.6330570969245733,34
17,15,1500,0.035877348753720485,0.6345950000945105,35
25,1,500,0.03891397203261826,0.5656843891112737,36
25,1,1000,0.0380825304654917,0.5882641413370786,37
25,1,1500,0.038373615353460414,0.5961013625584993,38
25,3,500,0.03598674522715534,0.6284854561199582,39
25,3,1000,0.03577708248026473,0.6349183947078975,40
25,3,1500,0.036092280679386066,0.636235064060563,41
25,6,500,0.03509396127789235,0.6486240046670586,42
25,6,1000,0.035044739337413824,0.6515470015666046,43
25,6,1500,0.03532299157297769,0.6524830991677052,44
25,9,500,0.03514882678400686,0.6441016433966688,45
25,9,1000,0.03526060398999227,0.6439963326400839,46
25,9,1500,0.03547225509507439,0.6450179807815365,47
25,12,500,0.035391721140827184,0.6398547900657542,48
25,12,1000,0.03540929825336318,0.6411266932973707,49
25,12,1500,0.03563336211517426,0.642393223035383,50
25,15,500,0.03568284730822602,0.6310794833292994,51
25,15,1000,0.035696810460179314,0.632756419471408,52
25,15,1500,0.035867583105819265,0.6346900083155657,53
32,1,500,0.03890600519409934,0.565792449847884,54
32,1,1000,0.03805304039534828,0.5888567328227043,55
32,1,1500,0.038348705554547814,0.5960127574503528,56
32,3,500,0.03599046306790892,0.6284987040611687,57
32,3,1000,0.035799847082766255,0.6343466407721101,58
32,3,1500,0.03607596675896457,0.6360502099421529,59
32,6,500,0.035088428878926894,0.6487483831593308,60
32,6,1000,0.035036669469993946,0.6514683005662654,61
32,6,1500,0.03531913675810303,0.6522196922590526,62
32,9,500,0.03514996145172034,0.6441033411666062,63
32,9,1000,0.03525879024593916,0.6439185342460249,64
32,9,1500,0.035436865653305574,0.6453197775601737,65
32,12,500,0.03539464646060563,0.6398644224166476,66
32,12,1000,0.035404567051830815,0.6411303588293393,67
32,12,1500,0.035612077831729864,0.6424069905410722,68
32,15,500,0.03568263722628202,0.6311209806725826,69
32,15,1000,0.03568751812646091,0.6329546428043205,70
32,15,1500,0.03584752728939802,0.6349836550668128,71
40,1,500,0.03890600519409934,0.565792449847884,72
40,1,1000,0.03805259566768548,0.5888589493929819,73
40,1,1500,0.03834921000405468,0.5960403157113212,74
40,3,500,0.03599046306790892,0.6284987040611687,75
40,3,1000,0.03579981915678172,0.634362998663759,76
40,3,1500,0.03607783509158154,0.6360709023395195,77
40,6,500,0.035088428878926894,0.6487483831593308,78
40,6,1000,0.035036669469993946,0.6514683005662654,79
40,6,1500,0.03531814810089387,0.6522697993003379,80
40,9,500,0.03514996145172034,0.6441033411666062,81
40,9,1000,0.035262469726601256,0.6439100186009821,82
40,9,1500,0.03544053304724586,0.6453432137932271,83
40,12,500,0.03539464646060563,0.6398644224166476,84
40,12,1000,0.03540389843119791,0.641129883376155,85
40,12,1500,0.03561522771702865,0.6423935258951967,86
40,15,500,0.03568263722628202,0.6311209806725826,87
40,15,1000,0.03568697775387164,0.6329565686657223,88
40,15,1500,0.03585016423923805,0.6350195670849264,89
